company,n_sites,name_variants,company_source,parent_codes,n_countries,countries,regions,verticals,customer_classes,best_segmentation,has_hq_site,fda_any,first_created,last_updated,n_flag_review
Mauser Packaging Solutions,10,,global_hq_rollup,Mauser,4,"United States, Germany, China, Russian Federation","North America, EMEA, Asia-Pacific","Industrial, Consumer Products","Customer, Former Customer",,False,False,2020-10-31,2025-11-07,0
Cooper-Standard Automotive,10,Cooper Standard Automotive | Cooper-Standard Automotive,global_hq_rollup,Cooper,5,"India, United States, Mexico, Poland, South Korea","Asia-Pacific, North America, Latin America, EMEA",Automotive,"Customer, Bill-To, Former Customer, Prospect",C,False,False,2020-10-31,2025-10-03,0
Metso Corporation,10,,global_hq_rollup,Metsoc,7,"Finland, China, Brazil, United States, France …","EMEA, Asia-Pacific, Latin America, North America",Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Medline Industries, LP (HQ)",10,,global_hq_rollup,Medlin,4,"United States, Australia, Netherlands, Italy","North America, EMEA, Asia-Pacific","Life Sciences, Industrial","Customer, Former Customer",,False,False,2020-10-31,2025-10-23,0
Fortive Corporation,10,,global_hq_rollup,Fortiv,6,"China, United Kingdom, United States, Netherlands, Switzerland …","EMEA, Asia-Pacific, North America","Electronics, Industrial",Customer,,False,False,2020-10-31,2025-10-14,0
"Nippon Seiki Co., Ltd.",9,"NIPPON SEIKI CO. LTD | Nippon Seiki Co., Ltd.",global_hq_rollup,Nseiki,5,"China, India, Mexico, Japan, United States","Asia-Pacific, Latin America, North America","Automotive, Other","Customer, Prospect",C,False,False,2020-10-31,2025-12-11,0
Israel Chemicals Limited (ICL),9,,global_hq_rollup,Ichemi,5,"Netherlands, United Kingdom, United States, France, Israel","EMEA, North America","Industrial, Other",Customer,,False,False,2020-10-31,2025-10-03,0
"W.L. Gore & Associates, Inc.",9,,global_hq_rollup,Wlgore,3,"United States, Germany, United Kingdom","North America, EMEA","Industrial, Electronics","Customer, Bill-To",C,False,False,2020-10-31,2025-10-14,0
Idex Corporation,9,,global_hq_rollup,Idexco,2,"United States, China","North America, Asia-Pacific","Industrial, Other",Customer,,True,False,2020-10-31,2025-10-03,0
Teleflex Inc. (HQ),9,,global_hq_rollup,Telefl,2,"United States, Czech Republic","North America, EMEA",Life Sciences,Customer,,False,False,2020-10-31,2025-10-14,0
"CommScope, Inc.",9,"CommScope Inc. | CommScope, Inc.",global_hq_rollup,Commsc,5,"United States, Singapore, Australia, Ireland, Hong Kong","Asia-Pacific, North America, EMEA",Electronics,"Customer, Bill-To",,False,False,2020-10-31,2025-12-06,0
Juteng International Holdings Limited,9,,global_hq_rollup,Juteng,2,"China, Vietnam",Asia-Pacific,"Electronics, Industrial","Former Customer, Customer",,False,False,2020-10-31,2025-11-25,0
CNH Industrial,9,,global_hq_rollup,Cnhind,5,"United States, Brazil, Mexico, China, Ireland","Latin America, North America, Asia-Pacific, EMEA","Industrial, Automotive",Customer,B,False,False,2020-10-31,2025-12-07,0
Dana Corporation,9,,site_name,Danaco,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Dura Automotive Systems, LLC",9,,global_hq_rollup,Duraau,8,"United States, United Kingdom, Spain, Germany, Romania …","EMEA, North America, Asia-Pacific",Automotive,"Customer, Bill-To",C,True,False,2020-10-31,2025-12-07,0
Mueller Industries Inc.,9,,global_hq_rollup,Muelle,2,"United States, Mexico","North America, Latin America",Industrial,"Former Customer, Customer",,True,False,2020-10-31,2025-10-14,0
Digital Equipment Corp.,9,Digital Equipment Corp | Digital Equipment Corp.,site_name,,2,"United States, Australia","North America, Asia-Pacific",,"Partner, Customer",,False,False,2020-10-31,2024-11-22,0
DSV A/S,8,,global_hq_rollup,"Dsvpan, Dbahna",2,"United States, Germany","North America, EMEA","Automotive, Other","Customer, Former Customer",,False,False,2021-04-09,2025-10-14,0
Cleveland-Cliffs Inc.,8,,global_hq_rollup,Clevel,1,United States,North America,Industrial,"Customer, Bill-To",,False,False,2020-10-31,2025-10-03,0
Visteon Corporation,8,,global_hq_rollup,Viston,5,"United States, China, Russian Federation, Portugal, Mexico","North America, EMEA, Asia-Pacific, Latin America",Automotive,"Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
Lem International SA,8,,global_hq_rollup,Lemcom,6,"United States, Switzerland, China, Japan, Germany …","EMEA, North America, Asia-Pacific",Electronics,"Customer, Former Customer",C,False,False,2020-10-31,2025-10-03,0
"ADIUM PHARMA, S.A.",8,,global_hq_rollup,Adiump,6,"Uruguay, Venezuela, Brazil, Chile, Peru …",Latin America,Life Sciences,"Customer, Bill-To",,False,False,2020-10-31,2025-10-03,0
Nestle SA,8,,global_hq_rollup,Nestle,4,"United States, Russian Federation, Spain, France","North America, EMEA","Food & Beverage, Life Sciences","Customer, Former Customer",,False,False,2020-10-31,2025-10-03,0
Fontana Gruppo,8,,global_hq_rollup,Fontan,4,"United States, Brazil, Mexico, Netherlands","North America, Latin America, EMEA","Automotive, Industrial",Customer,,False,False,2020-10-31,2025-10-03,0
Ministry of Defence,8,Ministry Of Defence | Ministry of Defence,global_hq_rollup,Minist,1,United Kingdom,EMEA,"Electronics, Industrial","Customer, Former Customer",,False,False,2020-10-31,2025-10-03,0
"Inteva Products, LLC",8,,global_hq_rollup,Inteva,6,"United States, China, Germany, United Kingdom, Brazil …","EMEA, North America, Asia-Pacific, Latin America",Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
"NN, Inc. Global Headquarters",8,,global_hq_rollup,Autoca,5,"United States, France, China, Poland, Brazil","North America, EMEA, Asia-Pacific, Latin America","Industrial, Automotive","Customer, Former Customer",B,True,False,2020-10-31,2025-12-06,0
The Flexitallic Group,8,,global_hq_rollup,Fdsgro,7,"United Kingdom, United States, China, France, Italy …","EMEA, North America, Asia-Pacific",Industrial,"Customer, Former Customer",C,False,False,2020-10-31,2025-10-14,0
"Becton, Dickinson and Co.",8,,global_hq_rollup,Becton,5,"United States, Brazil, Sweden, Malaysia, Germany","North America, EMEA, Latin America, Asia-Pacific","Life Sciences, Other","Customer, Former Customer",B,False,True,2020-10-31,2025-10-03,0
Belden Inc.,8,,global_hq_rollup,Mtwofx,5,"United Kingdom, Netherlands, Australia, United States, China","EMEA, Asia-Pacific, North America","Electronics, Industrial, Consumer Products","Customer, Former Customer",C,False,False,2020-10-31,2025-10-03,0
Tata Consultancy Services Ltd.,8,Tata Consultancy Services Ltd | Tata Consultancy Services Ltd. | Tata Consultancy ServicesLtd,site_name,,1,India,Asia-Pacific,"Other, Consumer Products","Customer, Prospect",,True,False,2020-10-31,2025-10-03,0
Progress Software,8,,site_name,,6,"United States, France, Singapore, South Africa, Australia …","North America, EMEA, Asia-Pacific, Latin America",,"Partner, Customer",,False,False,2020-10-31,2024-11-22,0
Hewlett Packard Enterprise Co,8,Hewlett Packard Enterprise Co | Hewlett-Packard Enterprise Co.,global_hq_rollup,Hewlet,4,"Israel, United States, France, Netherlands","EMEA, North America",Consumer Products,"Customer, Bill-To",,True,False,2020-10-31,2025-10-14,0
"Lush Cosmetics, Ltd.",8,,global_hq_rollup,Lushma,4,"Canada, United Kingdom, Australia, Japan","North America, EMEA, Asia-Pacific","Consumer Products, Food & Beverage","Customer, Former Customer, Bill-To, Inactive",C,False,False,2020-10-31,2025-10-31,0
Crane Company,8,,global_hq_rollup,Cranec,4,"United States, Canada, United Arab Emirates, India","North America, EMEA, Asia-Pacific","Industrial, Consumer Products","Bill-To, Customer, Former Customer",,False,False,2020-10-31,2025-10-14,0
ArcelorMittal (GHQ),8,,global_hq_rollup,Arcelo,3,"United States, Canada, Mexico","North America, Latin America","Industrial, Automotive","Customer, Bill-To",,False,False,2020-10-31,2025-10-03,0
Sanmina Corporation,8,,global_hq_rollup,Sanmin,3,"United States, Mexico, Malaysia","North America, Latin America, Asia-Pacific",Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Strategic Information GRP HQ,8,,global_hq_rollup,,3,"United States, United Kingdom, Ireland","EMEA, North America","Other, Electronics",Partner,,True,False,2020-10-31,2025-11-18,0
Teva Pharmaceuticals,8,,global_hq_rollup,Cephal,3,"United States, Czech Republic, France","North America, EMEA",Life Sciences,Customer,,False,False,2020-10-31,2025-10-31,0
LF Beauty LTD,8,,global_hq_rollup,Liandf,5,"China, Indonesia, United Kingdom, Thailand, Hong Kong","Asia-Pacific, EMEA","Consumer Products, Food & Beverage, Industrial","Customer, Former Customer",,True,False,2020-10-31,2025-10-03,0
Seiko Epson Corporation,8,,global_hq_rollup,Seikoc,4,"Japan, Malaysia, United States, Germany","Asia-Pacific, North America, EMEA","Electronics, Consumer Products, Food & Beverage","Customer, Prospect, Bill-To",,False,False,2020-10-31,2025-10-03,0
Schneider Electric SA,8,,global_hq_rollup,Schnei,4,"United States, France, Indonesia, United Kingdom","North America, EMEA, Asia-Pacific","Electronics, Industrial","Customer, Bill-To",,False,False,2020-10-31,2025-10-28,0
Rich Products Corporation,8,,global_hq_rollup,Richpr,2,"United States, Canada",North America,Food & Beverage,Customer,,False,False,2020-10-31,2025-10-03,0
IBM Corporation,8,,site_name,,1,United States,North America,,"Partner, Customer, Bill-To",,False,False,2020-10-31,2024-11-22,0
PERNOD RICARD SA,8,PERNOD RICARD S.A. | PERNOD RICARD SA,global_hq_rollup,Pernod,2,"France, United Kingdom",EMEA,"Food & Beverage, Other","Customer, Bill-To",,False,False,2020-10-31,2025-10-28,0
CCL Industries Inc.,8,,global_hq_rollup,Cclind,4,"United States, United Kingdom, Italy, Singapore","North America, EMEA, Asia-Pacific","Industrial, Consumer Products","Customer, Former Customer",C,False,False,2020-10-31,2025-12-07,0
ASSA ABLOY AB,8,,global_hq_rollup,Assaab,6,"United States, Mexico, United Kingdom, Germany, Sweden …","EMEA, North America, Latin America","Industrial, Consumer Products, Electronics",Customer,,False,False,2020-10-31,2025-10-29,0
Smiths Group Plc,7,,global_hq_rollup,Smiths,4,"United Kingdom, Mexico, Finland, United States","EMEA, Latin America, North America","Industrial, Consumer Products","Customer, Bill-To, Inactive",,False,False,2020-10-31,2025-10-14,0
Price Waterhouse,7,Price Water House | Price Waterhouse | Pricewaterhouse,site_name,,2,"United States, Canada",North America,,"Partner, Customer",,False,False,2020-10-31,2024-11-22,0
American Vanguard Corp.,7,,global_hq_rollup,Amvacc,4,"United States, Brazil, Netherlands, Australia","North America, Latin America, EMEA, Asia-Pacific",Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Autoliv Inc.,7,,global_hq_rollup,Autoli,4,"Thailand, India, China, South Korea",Asia-Pacific,Automotive,"Customer, Bill-To",,False,False,2020-10-31,2025-10-31,0
SKF Sverige AB,7,,global_hq_rollup,Skfgro,3,"China, United States, Sweden","Asia-Pacific, North America, EMEA","Industrial, Automotive","Customer, Former Customer, Bill-To",C,True,False,2020-10-31,2025-12-11,0
Johnson Controls,7,,site_name,Jcontr,5,"United States, Germany, South Africa, United Kingdom, Slovakia","EMEA, North America",,"Customer, Bill-To",,False,False,2020-10-31,2023-04-29,0
Technicolor SA,7,,global_hq_rollup,Techni,3,"United States, France, Hong Kong","North America, EMEA, Asia-Pacific",Electronics,"Customer, Bill-To, Inactive",,False,False,2020-10-31,2025-10-03,0
A Raymond,7,,global_hq_rollup,Araymo,2,"United States, France","North America, EMEA","Automotive, Industrial","Customer, Former Customer",,True,False,2020-10-31,2025-10-03,0
Yanfeng US Auto Int Sys I LLC,7,,site_name,Yanfen,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Husqvarna AB,7,,global_hq_rollup,Husqva,7,"Belgium, United Kingdom, Germany, Spain, Italy …",EMEA,"Industrial, Consumer Products","Former Customer, Customer",,False,False,2020-10-31,2025-10-03,0
AVIC Electromechanical Systems (AVICEM),7,,global_hq_rollup,Avicem,4,"China, United States, Germany, Thailand","Asia-Pacific, North America, EMEA",Automotive,"Customer, Former Customer",C,False,False,2020-10-31,2025-12-07,0
Kulicke & Soffa Industries,7,,global_hq_rollup,Assemb,4,"United States, Netherlands, Singapore, China","North America, EMEA, Asia-Pacific","Consumer Products, Electronics",Customer,,False,False,2020-10-31,2025-10-10,0
"Beijing Hainachuan Automotive Parts Co., Ltd.",7,,global_hq_rollup,Bhaina,2,"China, Mexico","Asia-Pacific, Latin America",Automotive,"Customer, Former Customer, Bill-To",,False,False,2020-10-31,2025-10-03,0
Marelli Corporation,7,,global_hq_rollup,Marell,2,"China, Mexico","Asia-Pacific, Latin America",Automotive,"Former Customer, Customer",,False,False,2020-10-31,2025-10-14,0
"Watts Water Technologies,Inc",7,,global_hq_rollup,Wattsi,6,"China, United States, Germany, United Kingdom, Netherlands …","Asia-Pacific, EMEA, North America",Industrial,"Bill-To, Customer, Former Customer",C,False,False,2020-10-31,2025-12-07,0
Sun Microsystems Inc.,7,"Sun Microsystems Inc | Sun Microsystems Inc. | Sun Microsystems, Inc.",global_hq_rollup,Sunmic,2,"United States, United Kingdom","North America, EMEA",Consumer Products,"Customer, Partner, Bill-To",,False,False,2020-10-31,2025-10-03,0
Doosan Corporation,7,,global_hq_rollup,Doosan,6,"India, Czech Republic, China, Singapore, South Korea …","Asia-Pacific, EMEA",Industrial,Customer,C,False,False,2020-10-31,2025-12-07,0
SunOpta HQ,7,,global_hq_rollup,,2,"United States, Mexico","North America, Latin America",Food & Beverage,"Customer, Former Customer",,False,False,2024-02-24,2025-10-03,0
Tower Automotive,7,TOWER AUTOMOTIVE | Tower Automotive,site_name,Autoki,3,"United States, Canada, Brazil","North America, Latin America",,"Customer, Bill-To",,False,False,2020-10-31,2023-04-29,0
"Mark Anthony Group (Vancouver,)",7,,global_hq_rollup,Markan,3,"United States, Ireland, Canada","North America, EMEA",Food & Beverage,"Customer, Bill-To",B,False,False,2020-10-31,2025-12-07,0
Bayer AG,7,,global_hq_rollup,Bayera,3,"United States, Argentina, Netherlands","North America, Latin America, EMEA","Industrial, Life Sciences",Customer,,False,False,2020-10-31,2025-10-03,0
Visonic Ltd,7,,global_hq_rollup,Visoni,6,"United Kingdom, United States, Spain, Germany, Poland …","EMEA, North America","Electronics, Consumer Products",Customer,,False,False,2020-10-31,2025-10-03,0
Arthur Anderson,7,,site_name,,2,"United States, Australia","North America, Asia-Pacific",,Partner,,False,False,2020-10-31,2024-11-22,0
Colombina SA,7,Colombina S.A. | Colombina SA,global_hq_rollup,Colomb,1,Colombia,Latin America,Food & Beverage,Customer,,False,False,2020-10-31,2025-10-03,0
FläktGroup,7,,global_hq_rollup,Flaktw,4,"Finland, France, United States, Italy","EMEA, North America",Industrial,"Customer, Former Customer",,False,False,2020-10-31,2025-10-03,0
Avon,7,,global_hq_rollup,Avonpr,5,"China, India, United States, Nigeria, Thailand","Asia-Pacific, North America, EMEA",Consumer Products,"Customer, Former Customer",,False,False,2020-10-31,2025-10-31,0
Raychem Corporation,7,,site_name,Tycoel,3,"United States, Hong Kong, Ireland","North America, Asia-Pacific, EMEA",,"Customer, Bill-To",,False,False,2020-10-31,2023-04-29,0
"FEVISA INDUSTRIAL, S.A. DE C.V.",7,,global_hq_rollup,Fevisa,1,Mexico,Latin America,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Jabil Circuit, Inc.",7,,global_hq_rollup,Jabilc,6,"United Kingdom, United States, Belgium, Mexico, Ireland …","EMEA, North America, Latin America","Electronics, Other","Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
JSP Corporation,7,,global_hq_rollup,Jspint,4,"China, Germany, Japan, Taiwan","Asia-Pacific, EMEA",Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
L3Harris Technologies Inc.,6,,global_hq_rollup,Harris,2,"United States, United Kingdom","North America, EMEA",Electronics,"Customer, Bill-To",,True,False,2020-10-31,2025-10-03,0
KOELNER SA,6,,global_hq_rollup,Koelne,2,"Poland, Bulgaria",EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Laird Technologies,6,LAIRD TECHNOLOGIES | Laird Technologies,site_name,Lairdg,4,"United States, France, Hungary, China","North America, EMEA, Asia-Pacific",,"Customer, Bill-To",,False,False,2020-10-31,2023-04-29,0
Ford Motor Company,6,,site_name,Fordmo,1,United States,North America,,"Customer, Prospect",,False,False,2020-10-31,2023-04-29,0
"Metalsa, S.A. de C.V.",6,,global_hq_rollup,Metals,3,"United States, Mexico, Italy","North America, Latin America, EMEA","Automotive, Electronics",Customer,,False,False,2020-10-31,2025-10-03,0
